,return,risk
CCC.PL_4,-0.02,0.13
RND.PL,0.02,0.12
ZRE.PL,0.09,0.22
GTC.PL_9,-0.01,0.05
ATT.PL_9,0.0,0.15
PEP.PL,0.03,0.11
MXC.PL,-0.01,0.08
RWL.PL,0.01,0.13
HDR.PL,0.01,0.02
PGE.PL_9,0.01,0.12
TIM.PL,0.02,0.13
GIF.PL,-0.02,0.08
GRN.PL,-0.0,0.08
BRS.PL_4,0.06,0.18
FIG.PL,-0.06,0.23
DBC.PL,-0.01,0.05
DEK.PL,0.02,0.09
URT.PL,0.02,0.14
ATD.PL,-0.02,0.09
VVR.PL,-0.01,0.16
LPP.PL_4,0.01,0.18
APT.PL,-0.01,0.06
NET.PL_9,,
MSP.PL,0.01,0.14
RVU.PL,0.02,0.19
PTH.PL,-0.03,0.06
JJB.PL,-0.01,0.17
PGE.PL_4,0.01,0.12
KCI.PL,0.01,0.14
VRG.PL,-0.01,0.04
AGL.PL,0.05,0.06
MLS.PL,0.02,0.22
ENA.PL_9,0.01,0.11
MOV.PL,-0.04,0.13
PKP.PL_9,0.03,0.1
SDG.PL,-0.01,0.31
R22.PL,0.02,0.08
UNT.PL,0.07,0.15
PRM.PL,0.01,0.05
UNI.PL,0.02,0.12
MRC.PL_4,-0.03,0.08
PPS.PL,0.01,0.08
PBG.PL_9,0.01,0.34
BBA.PL,-0.03,0.14
KPL.PL,-0.0,0.08
ONO.PL,0.01,0.1
FTE.PL_9,-0.02,0.12
OND.PL,-0.01,0.17
06N.PL,0.03,0.2
SNX.PL,0.16,0.37
MNS.PL,-0.03,0.1
PMP.PL,0.03,0.09
LMG.PL,-0.07,0.2
TRK.PL,-0.0,0.07
CLE.PL,0.0,0.21
ALI.PL,0.01,0.08
